Jornada;Equipo1;Equipo2;Resultado
25;Sporting de Gijon;Las Palmas;1
25;Granada;Barcelona;2
25;Real Sociedad;CD Malaga;2
25;Real Madrid;Zaragoza;1
25;Sevilla;Atletico de Madrid;0
25;Valencia;Atletico de Bilbao;1
26;Atletico de Madrid;Granada;1
26;Atletico de Bilbao;Sevilla;1
26;Barcelona;Real Sociedad;1
26;Celta de Vigo;Real Madrid;1
26;Elche;Las Palmas;1
26;CD Malaga;Sporting de Gijon;1
26;Sabadell;Espanol;0
26;Zaragoza;Valencia;2
27;Espanol;Elche;1
27;Sporting de Gijon;Barcelona;2
27;Granada;Atletico de Bilbao;0
27;Las Palmas;CD Malaga;2
27;Real Sociedad;Atletico de Madrid;2
27;Real Madrid;Sabadell;1
27;Sevilla;Zaragoza;1
27;Valencia;Celta de Vigo;1
28;Atletico de Bilbao;Real Sociedad;0
28;Atletico de Madrid;Sporting de Gijon;1
28;Barcelona;CD Malaga;1
28;Celta de Vigo;Sevilla;1
28;Elche;Real Madrid;2
28;Las Palmas;Espanol;0
28;Sabadell;Valencia;2
28;Zaragoza;Granada;0
29;CD Malaga;Atletico de Madrid;0
29;Real Madrid;Espanol;1
29;Sporting de Gijon;Atletico de Bilbao;1
29;Granada;Celta de Vigo;1
29;Real Sociedad;Zaragoza;1
29;Sevilla;Sabadell;1
29;Valencia;Elche;1
29;Barcelona;Las Palmas;1
30;Atletico de Bilbao;CD Malaga;1
30;Atletico de Madrid;Barcelona;0
30;Celta de Vigo;Real Sociedad;0
30;Elche;Sevilla;1
30;Espanol;Valencia;1
30;Las Palmas;Real Madrid;0
30;Sabadell;Granada;2
30;Zaragoza;Sporting de Gijon;0
